ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-38004N|uniprotkb:Q9Y6K1	DIP-33172N|refseq:NP_006100|uniprotkb:O14744	 -	-	-	-	MI:0096(pull down)|MI:0007(anti tag coimmunoprecipitation)|MI:0096(pull down)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19234465|pubmed:DIP-12520S|pubmed:19234465|pubmed:DIP-12520S|pubmed:19234465|pubmed:DIP-12520S|pubmed:19234465|pubmed:DIP-12520S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0915(physical association)|MI:0407(direct interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-103044E	dip-quality-status:	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-38004N|uniprotkb:Q9Y6K1	DIP-48508N	 -	-	-	-	MI:0096(pull down)|MI:0096(pull down)|MI:0096(pull down)	-	pubmed:19234465|pubmed:DIP-12520S|pubmed:19234465|pubmed:DIP-12520S|pubmed:19234465|pubmed:DIP-12520S	taxid:9606(Homo sapiens)	taxid:-2(chemical synthesis)	MI:0407(direct interaction)|MI:0915(physical association)|MI:0407(direct interaction)	MI:0465(dip)	DIP-103046E	dip-quality-status:	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-34052N|refseq:NP_005643|uniprotkb:Q15554	DIP-39802N|uniprotkb:Q8NEM0	 -	-	-	-	MI:0096(pull down)|MI:0809(bimolecular fluorescence complementation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:19287395|pubmed:DIP-12524S|pubmed:19287395|pubmed:DIP-12524S|pubmed:19287395|pubmed:DIP-12524S|pubmed:19287395|pubmed:DIP-12524S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-103056E	dip-quality-status:	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-34052N|refseq:NP_005643|uniprotkb:Q15554	DIP-48511N|uniprotkb:Q80W00	 -	-	-	-	MI:0096(pull down)|MI:0809(bimolecular fluorescence complementation)	-	pubmed:19287395|pubmed:DIP-12524S|pubmed:19287395|pubmed:DIP-12524S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0915(physical association)|MI:0407(direct interaction)	MI:0465(dip)	DIP-103057E	dip-quality-status:	dip:0004(small scale)|dip:0004(small scale)		-
DIP-48513N|refseq:NP_001036053|uniprotkb:O95149	DIP-33678N|refseq:NP_003391|uniprotkb:O14980	 -	-	-	-	MI:0096(pull down)	-	pubmed:19339972|pubmed:DIP-12526S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-103062E	dip-quality-status:	dip:0004(small scale)		-
DIP-33678N|refseq:NP_003391|uniprotkb:O14980	DIP-48514N|refseq:NP_057854	 -	-	-	-	MI:0096(pull down)	-	pubmed:19339972|pubmed:DIP-12526S	taxid:9606(Homo sapiens)	taxid:11676(human immunodeficiency virus type 1, HIV-1)	MI:0407(direct interaction)	MI:0465(dip)	DIP-103063E	dip-quality-status:	dip:0004(small scale)		-
DIP-48519N|refseq:NP_065712|uniprotkb:Q9GZX7	DIP-48519N|refseq:NP_065712|uniprotkb:Q9GZX7	-	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:19412186|pubmed:DIP-12532S|pubmed:19412186|pubmed:DIP-12532S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-103075E	dip-quality-status:	dip:0004(small scale)|dip:0004(small scale)		-
DIP-33678N|refseq:NP_003391|uniprotkb:O14980	DIP-48519N|refseq:NP_065712|uniprotkb:Q9GZX7	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:19412186|pubmed:DIP-12532S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-103076E	dip-quality-status:	dip:0004(small scale)		-
DIP-48519N|refseq:NP_065712|uniprotkb:Q9GZX7	DIP-29296N|refseq:NP_002255|uniprotkb:P52294	 -	-	-	-	MI:0096(pull down)|MI:0096(pull down)	-	pubmed:19412186|pubmed:DIP-12532S|pubmed:19412186|pubmed:DIP-12532S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-103077E	dip-quality-status:	dip:0004(small scale)|dip:0004(small scale)		-
DIP-48519N|refseq:NP_065712|uniprotkb:Q9GZX7	DIP-27586N|refseq:NP_002258|uniprotkb:O00505	 -	-	-	-	MI:0096(pull down)|MI:0096(pull down)	-	pubmed:19412186|pubmed:DIP-12532S|pubmed:19412186|pubmed:DIP-12532S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-103078E	dip-quality-status:	dip:0004(small scale)|dip:0004(small scale)		-
DIP-33405N|uniprotkb:O15131	DIP-48519N|refseq:NP_065712|uniprotkb:Q9GZX7	 -	-	-	-	MI:0096(pull down)|MI:0096(pull down)	-	pubmed:19412186|pubmed:DIP-12532S|pubmed:19412186|pubmed:DIP-12532S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-103079E	dip-quality-status:	dip:0004(small scale)|dip:0004(small scale)		-
DIP-27515N|uniprotkb:Q9Y4K3	DIP-29829N|refseq:NP_003339|uniprotkb:P61088	 -	-	-	-	MI:0018(two hybrid)|MI:0071(molecular sieving)|MI:0107(surface plasmon resonance)|MI:0114(x-ray crystallography)	-	pubmed:19465916|pubmed:DIP-12537S|pubmed:19465916|pubmed:DIP-12537S|pubmed:19465916|pubmed:DIP-12537S|pubmed:19465916|pubmed:DIP-12537S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-103084E	dip-quality-status:	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-29742N|uniprotkb:P62991	DIP-27515N|uniprotkb:Q9Y4K3	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:19465916|pubmed:DIP-12537S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-103085E	dip-quality-status:	dip:0004(small scale)		-
DIP-27515N|uniprotkb:Q9Y4K3	DIP-27515N|uniprotkb:Q9Y4K3	-	-	-	-	MI:0826(x ray scattering)|MI:0071(molecular sieving)|MI:0114(x-ray crystallography)	-	pubmed:19465916|pubmed:DIP-12537S|pubmed:19465916|pubmed:DIP-12537S|pubmed:19465916|pubmed:DIP-12537S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-103086E	dip-quality-status:	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-24261N|uniprotkb:P62988	DIP-24261N|uniprotkb:P62988	-	-	-	-	MI:0808(comigration in sds page)	-	pubmed:19465916|pubmed:DIP-12537S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-103088E	dip-quality-status:	dip:0004(small scale)		-
DIP-31148N|uniprotkb:Q9HAU5	DIP-31146N|uniprotkb:Q9H1J1	 -	-	-	-	MI:0096(pull down)|MI:0096(pull down)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19503078|pubmed:DIP-12540S|pubmed:19503078|pubmed:DIP-12540S|pubmed:19503078|pubmed:DIP-12540S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-103094E	dip-quality-status:	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-31143N|uniprotkb:Q9BZI7	DIP-31146N|uniprotkb:Q9H1J1	 -	-	-	-	MI:0096(pull down)|MI:0096(pull down)	-	pubmed:19503078|pubmed:DIP-12540S|pubmed:19503078|pubmed:DIP-12540S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-103095E	dip-quality-status:	dip:0004(small scale)|dip:0004(small scale)		-
DIP-48529N|refseq:NP_001078559|uniprotkb:Q1AJM5	DIP-29371N|uniprotkb:P68431	 -	-	-	-	MI:0515(methyltransferase assay)	-	pubmed:19503079|pubmed:DIP-12541S	taxid:3702(Arabidopsis thaliana)	taxid:9606(Homo sapiens)	MI:0213(methylation reaction)	MI:0465(dip)	DIP-103096E	dip-quality-status:	dip:0004(small scale)		-
DIP-29371N|uniprotkb:P68431	DIP-48530N|refseq:NP_197821|uniprotkb:Q9FNE9	 -	-	-	-	MI:0515(methyltransferase assay)	-	pubmed:19503079|pubmed:DIP-12541S	taxid:9606(Homo sapiens)	taxid:3702(Arabidopsis thaliana)	MI:0213(methylation reaction)	MI:0465(dip)	DIP-103097E	dip-quality-status:	dip:0004(small scale)		-
DIP-48534N|refseq:NP_065145|uniprotkb:Q7LBR1	DIP-42546N|refseq:NP_055576|uniprotkb:P53990	 -	-	-	-	MI:0107(surface plasmon resonance)	-	pubmed:19525971|pubmed:DIP-12543S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-103101E	dip-quality-status:	dip:0004(small scale)		-
DIP-48532N|refseq:NP_057163|uniprotkb:Q9Y3E7	DIP-48533N|refseq:NP_055268|uniprotkb:O43633	 -	-	-	-	MI:0020(transmission electron microscopy)|MI:0096(pull down)	-	pubmed:19525971|pubmed:DIP-12543S|pubmed:19525971|pubmed:DIP-12543S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-103102E	dip-quality-status:	dip:0004(small scale)|dip:0004(small scale)		-
DIP-42546N|refseq:NP_055576|uniprotkb:P53990	DIP-42546N|refseq:NP_055576|uniprotkb:P53990	-	-	-	-	MI:0067(light scattering)|MI:0020(transmission electron microscopy)	-	pubmed:19525971|pubmed:DIP-12543S|pubmed:19525971|pubmed:DIP-12543S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-103103E	dip-quality-status:	dip:0004(small scale)|dip:0004(small scale)		-
DIP-48534N|refseq:NP_065145|uniprotkb:Q7LBR1	DIP-48534N|refseq:NP_065145|uniprotkb:Q7LBR1	-	-	-	-	MI:0020(transmission electron microscopy)	-	pubmed:19525971|pubmed:DIP-12543S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-103104E	dip-quality-status:	dip:0004(small scale)		-
DIP-48535N|uniprotkb:Q57236	DIP-39072N|uniprotkb:P63027	 -	-	-	-	MI:0114(x-ray crystallography)|MI:0435(protease assay)|MI:0435(protease assay)	-	pubmed:19543288|pubmed:DIP-12545S|pubmed:19543288|pubmed:DIP-12545S|pubmed:19543288|pubmed:DIP-12545S	taxid:1491(Clostridium botulinum)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0570(protein cleavage)|MI:0570(protein cleavage)	MI:0465(dip)	DIP-103105E	dip-quality-status:	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-48536N|refseq:NP_071920|uniprotkb:Q96QV1	DIP-48536N|refseq:NP_071920|uniprotkb:Q96QV1	-	-	-	-	MI:0071(molecular sieving)	-	pubmed:19561611|pubmed:DIP-12546S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-103106E	dip-quality-status:	dip:0004(small scale)		-
DIP-48537N|refseq:NP_033196|uniprotkb:Q62226	DIP-48536N|refseq:NP_071920|uniprotkb:Q96QV1	 -	-	-	-	MI:0107(surface plasmon resonance)|MI:0104(static light scattering)|MI:0071(molecular sieving)|MI:0114(x-ray crystallography)	-	pubmed:19561611|pubmed:DIP-12546S|pubmed:19561611|pubmed:DIP-12546S|pubmed:19561611|pubmed:DIP-12546S|pubmed:19561611|pubmed:DIP-12546S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-103107E	dip-quality-status:	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-48538N|refseq:NP_066382|uniprotkb:O43323	DIP-48536N|refseq:NP_071920|uniprotkb:Q96QV1	 -	-	-	-	MI:0114(x-ray crystallography)|MI:0071(molecular sieving)|MI:0107(surface plasmon resonance)|MI:0104(static light scattering)	-	pubmed:19561611|pubmed:DIP-12546S|pubmed:19561611|pubmed:DIP-12546S|pubmed:19561611|pubmed:DIP-12546S|pubmed:19561611|pubmed:DIP-12546S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-103108E	dip-quality-status:	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-29696N|refseq:NP_005021|uniprotkb:P53350	DIP-48539N|refseq:NP_078905|uniprotkb:Q71F23	 -	-	-	-	MI:0096(pull down)|MI:0065(isothermal titration calorimetry)|MI:0114(x-ray crystallography)|MI:0096(pull down)|MI:0096(pull down)	-	pubmed:19597481|pubmed:DIP-12547S|pubmed:19597481|pubmed:DIP-12547S|pubmed:19597481|pubmed:DIP-12547S|pubmed:19597481|pubmed:DIP-12547S|pubmed:19597481|pubmed:DIP-12547S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-103109E	dip-quality-status:	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-48540N|uniprotkb:Q9R8E4	DIP-31097N|uniprotkb:P60953	 -	-	-	-	MI:0949(gdp/gtp exchange assay)|MI:0949(gdp/gtp exchange assay)|MI:0096(pull down)|MI:0114(x-ray crystallography)|MI:0096(pull down)	-	pubmed:19620963|pubmed:DIP-12548S|pubmed:19620963|pubmed:DIP-12548S|pubmed:19620963|pubmed:DIP-12548S|pubmed:19620963|pubmed:DIP-12548S|pubmed:19620963|pubmed:DIP-12548S	taxid:83333(Escherichia coli K12)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-103110E	dip-quality-status:	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-31097N|uniprotkb:P60953	DIP-45301N|uniprotkb:Q6XVY7	 -	-	-	-	MI:0949(gdp/gtp exchange assay)	-	pubmed:19620963|pubmed:DIP-12548S	taxid:9606(Homo sapiens)	taxid:623(Shigella flexneri)	MI:0407(direct interaction)	MI:0465(dip)	DIP-103111E	dip-quality-status:	dip:0004(small scale)		-
DIP-48541N|uniprotkb:Q6XW05	DIP-31097N|uniprotkb:P60953	 -	-	-	-	MI:0949(gdp/gtp exchange assay)	-	pubmed:19620963|pubmed:DIP-12548S	taxid:623(Shigella flexneri)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-103112E	dip-quality-status:	dip:0004(small scale)		-
DIP-29260N|refseq:NP_008839|uniprotkb:P63000	DIP-45301N|uniprotkb:Q6XVY7	 -	-	-	-	MI:0949(gdp/gtp exchange assay)	-	pubmed:19620963|pubmed:DIP-12548S	taxid:9606(Homo sapiens)	taxid:623(Shigella flexneri)	MI:0407(direct interaction)	MI:0465(dip)	DIP-103113E	dip-quality-status:	dip:0004(small scale)		-
DIP-29260N|refseq:NP_008839|uniprotkb:P63000	DIP-48541N|uniprotkb:Q6XW05	 -	-	-	-	MI:0949(gdp/gtp exchange assay)	-	pubmed:19620963|pubmed:DIP-12548S	taxid:9606(Homo sapiens)	taxid:623(Shigella flexneri)	MI:0407(direct interaction)	MI:0465(dip)	DIP-103114E	dip-quality-status:	dip:0004(small scale)		-
DIP-29642N|refseq:NP_001655|uniprotkb:P61586	DIP-48541N|uniprotkb:Q6XW05	 -	-	-	-	MI:0949(gdp/gtp exchange assay)	-	pubmed:19620963|pubmed:DIP-12548S	taxid:9606(Homo sapiens)	taxid:623(Shigella flexneri)	MI:0407(direct interaction)	MI:0465(dip)	DIP-103115E	dip-quality-status:	dip:0004(small scale)		-
DIP-31657N|uniprotkb:Q13322	DIP-31657N|uniprotkb:Q13322	-	-	-	-	MI:0114(x-ray crystallography)|MI:0071(molecular sieving)	-	pubmed:19648926|pubmed:DIP-12549S|pubmed:19648926|pubmed:DIP-12549S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-103116E	dip-quality-status:	dip:0004(small scale)|dip:0004(small scale)		-
DIP-1058N|refseq:NP_002515|uniprotkb:P01111	DIP-31657N|uniprotkb:Q13322	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:19648926|pubmed:DIP-12549S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-103117E	dip-quality-status:	dip:0004(small scale)		-
DIP-1058N|refseq:NP_002515|uniprotkb:P01111	DIP-42605N|refseq:NP_004481|uniprotkb:Q14449	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:19648926|pubmed:DIP-12549S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-103118E	dip-quality-status:	dip:0004(small scale)		-
DIP-1058N|refseq:NP_002515|uniprotkb:P01111	DIP-43965N|refseq:NP_034476|uniprotkb:Q03160	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:19648926|pubmed:DIP-12549S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0915(physical association)	MI:0465(dip)	DIP-103119E	dip-quality-status:	dip:0004(small scale)		-
DIP-31606N|uniprotkb:P63208	DIP-48542N|refseq:NP_957785|uniprotkb:Q6TVW2	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:18667692|pubmed:DIP-12550S|pubmed:18667692|pubmed:DIP-12550S|pubmed:18667692|pubmed:DIP-12550S|pubmed:18667692|pubmed:DIP-12550S|pubmed:18667692|pubmed:DIP-12550S	taxid:9606(Homo sapiens)	taxid:10258(Orf virus)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-103120E	dip-quality-status:	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-48542N|refseq:NP_957785|uniprotkb:Q6TVW2	DIP-17013N|refseq:NP_003583|uniprotkb:Q13616	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:18667692|pubmed:DIP-12550S|pubmed:18667692|pubmed:DIP-12550S|pubmed:18667692|pubmed:DIP-12550S|pubmed:18667692|pubmed:DIP-12550S|pubmed:18667692|pubmed:DIP-12550S	taxid:10258(Orf virus)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-103122E	dip-quality-status:	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-48543N|refseq:NP_957900|uniprotkb:Q6TVJ7	DIP-31606N|uniprotkb:P63208	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:18667692|pubmed:DIP-12550S|pubmed:18667692|pubmed:DIP-12550S	taxid:10258(Orf virus)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-103124E	dip-quality-status:	dip:0004(small scale)|dip:0004(small scale)		-
DIP-48544N|refseq:NP_957903|uniprotkb:Q6TVJ4	DIP-31606N|uniprotkb:P63208	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:18667692|pubmed:DIP-12550S|pubmed:18667692|pubmed:DIP-12550S	taxid:10258(Orf virus)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-103125E	dip-quality-status:	dip:0004(small scale)|dip:0004(small scale)		-
DIP-48545N|refseq:NP_957905|uniprotkb:Q6TVJ2	DIP-31606N|uniprotkb:P63208	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:18667692|pubmed:DIP-12550S|pubmed:18667692|pubmed:DIP-12550S	taxid:10258(Orf virus)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-103126E	dip-quality-status:	dip:0004(small scale)|dip:0004(small scale)		-
DIP-31606N|uniprotkb:P63208	DIP-48546N|refseq:NP_957906|uniprotkb:Q6TVJ1	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:18667692|pubmed:DIP-12550S|pubmed:18667692|pubmed:DIP-12550S|pubmed:18667692|pubmed:DIP-12550S	taxid:9606(Homo sapiens)	taxid:10258(Orf virus)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-103127E	dip-quality-status:	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-35017N|refseq:NP_001876|uniprotkb:P02511	DIP-268N|refseq:NP_004337|uniprotkb:P42574	 -	-	-	-	MI:0096(pull down)	-	pubmed:18669646|pubmed:DIP-12551S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-103139E	dip-quality-status:	dip:0004(small scale)		-
DIP-268N|refseq:NP_004337|uniprotkb:P42574	DIP-30915N|uniprotkb:Q14790	 -	-	-	-	MI:0435(protease assay)	-	pubmed:18669646|pubmed:DIP-12551S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-103141E	dip-quality-status:	dip:0004(small scale)		-
DIP-40825N|uniprotkb:P07814	DIP-34421N|refseq:NP_006294|uniprotkb:Q13155	 -	-	-	-	MI:0071(molecular sieving)	-	pubmed:18695251|pubmed:DIP-12552S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-103142E	dip-quality-status:	dip:0004(small scale)		-
DIP-368N|uniprotkb:P04637	DIP-34421N|refseq:NP_006294|uniprotkb:Q13155	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0096(pull down)|MI:0096(pull down)|MI:0018(two hybrid)|MI:0006(anti bait coimmunoprecipitation)|MI:0096(pull down)	-	pubmed:18695251|pubmed:DIP-12552S|pubmed:18695251|pubmed:DIP-12552S|pubmed:18695251|pubmed:DIP-12552S|pubmed:18695251|pubmed:DIP-12552S|pubmed:18695251|pubmed:DIP-12552S|pubmed:18695251|pubmed:DIP-12552S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0407(direct interaction)	MI:0465(dip)	DIP-103143E	dip-quality-status:	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-426N|refseq:NP_005417|uniprotkb:Q13625	DIP-33700N|refseq:NP_004041|uniprotkb:Q92843	 -	-	-	-	MI:0081(peptide array)|MI:0107(surface plasmon resonance)|MI:0081(peptide array)	-	pubmed:18719108|pubmed:DIP-12554S|pubmed:18719108|pubmed:DIP-12554S|pubmed:18719108|pubmed:DIP-12554S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-103146E	dip-quality-status:	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-426N|refseq:NP_005417|uniprotkb:Q13625	DIP-30916N|uniprotkb:Q07817	 -	-	-	-	MI:0107(surface plasmon resonance)|MI:0081(peptide array)|MI:0081(peptide array)	-	pubmed:18719108|pubmed:DIP-12554S|pubmed:18719108|pubmed:DIP-12554S|pubmed:18719108|pubmed:DIP-12554S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-103147E	dip-quality-status:	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-24261N|uniprotkb:P62988	DIP-37783N|refseq:NP_004350|uniprotkb:P49427	 -	-	-	-	MI:0808(comigration in sds page)	-	pubmed:18723677|pubmed:DIP-12555S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0195(covalent binding)	MI:0465(dip)	DIP-103148E	dip-quality-status:	dip:0004(small scale)		-
DIP-268N|refseq:NP_004337|uniprotkb:P42574	DIP-44649N|uniprotkb:P55212	 -	-	-	-	MI:0435(protease assay)	-	pubmed:18723680|pubmed:DIP-12556S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0194(cleavage reaction)	MI:0465(dip)	DIP-103149E	dip-quality-status:	dip:0004(small scale)		-
DIP-44649N|uniprotkb:P55212	DIP-29973N|uniprotkb:P55210	 -	-	-	-	MI:0435(protease assay)	-	pubmed:18723680|pubmed:DIP-12556S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0194(cleavage reaction)	MI:0465(dip)	DIP-103150E	dip-quality-status:	dip:0004(small scale)		-
DIP-29973N|uniprotkb:P55210	DIP-27625N|uniprotkb:P55211	 -	-	-	-	MI:0435(protease assay)	-	pubmed:18723680|pubmed:DIP-12556S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0194(cleavage reaction)	MI:0465(dip)	DIP-103151E	dip-quality-status:	dip:0004(small scale)		-
